user_id;activity_prefer;travel_preference;transportation_preference;activity_name;tour_name
1;Tracking;Group tour;Biking;Rice Field Trekking;Treasure Hunt & Cooking Battle
2;Tracking;Group tour;Walking;Jungle Trekking;Camping Into The Wild
3;Cycling;Solo;Motorcycling;Taro Village Cycling Tour;3D/2N Authentic Rural Experience at Tegal dukuh Camp
4;Cooking;Solo;Car;Cooking Experience;Hiking Journey In Taro Village
5;Cycling;Group tour;Biking;Kintamani Down Hill Cycling;3D/2N Authentic Rural Experience at Tegal dukuh Camp
6;Conservation;Solo;Biking;Fireflies Watching;Treasure Hunt & Cooking Battle
7;Tracking;Group tour;Minibus;Jungle Trekking;Hiking Journey In Taro Village
8;Conservation;Group tour;Motorcycling;Cooking Experience;Camping Into The Wild
9;Cooking;Solo;Walking;Kintamani Down Hill Cycling;Treasure Hunt & Cooking Battle
10;Cycling;Group tour;Car;Taro Village Cycling Tour;Hiking Journey In Taro Village
11;Conservation;Group tour;Biking;Fireflies Watching;Hiking Journey In Taro Village
12;Tracking;Solo;Walking;Jungle Trekking;Treasure Hunt & Cooking Battle
13;Conservation;Group tour;Biking;Fireflies Watching;Camping Into The Wild
14;Cooking;Group tour;Minibus;Cooking Experience;Hiking Journey In Taro Village
15;Cycling;Solo;Biking;Cooking Experience;3D/2N Authentic Rural Experience at Tegal dukuh Camp
16;Tracking;Group tour;Walking;Kintamani Down Hill Cycling;3D/2N Authentic Rural Experience at Tegal dukuh Camp
17;Tracking;Group tour;Walking;Rice Field Trekking;Hiking Journey In Taro Village
18;Tracking;Solo;Walking;Taro Village Cycling Tour;Treasure Hunt & Cooking Battle
19;Tracking;Group tour;Motorcycling;Jungle Trekking;Camping Into The Wild
20;Cycling;Group tour;Motorcycling;Taro Village Cycling Tour;Camping Into The Wild
21;Cycling;Group tour;Biking;Taro Village Cycling Tour;Hiking Journey In Taro Village
22;Cooking;Solo;Walking;Cooking Experience;Treasure Hunt & Cooking Battle
23;Conservation;Group tour;Car;Fireflies Watching;Camping Into The Wild
24;Tracking;Group tour;Car;Jungle Trekking;3D/2N Authentic Rural Experience at Tegal dukuh Camp
25;Cooking;Group tour;Minibus;Cooking Experience;Hiking Journey In Taro Village
26;Cycling;Solo;Biking;Taro Village Cycling Tour;Treasure Hunt & Cooking Battle
27;Cycling;Solo;Biking;Kintamani Down Hill Cycling;Hiking Journey In Taro Village
28;Cycling;Group tour;Walking;Kintamani Down Hill Cycling;Camping Into The Wild
29;Cycling;Group tour;Biking;Taro Village Cycling Tour;Camping Into The Wild
30;Conservation;Group tour;Minibus;Fireflies Watching;3D/2N Authentic Rural Experience at Tegal dukuh Camp
